signalname,Journal,Authors,Year,theory,LongDescription,misp_count,risk_count,misprice_risk_ratio,risk_mispricing_ratio,quote,liquidity,LiquidityNotes,Notes,post_2004,author_merge,Keep,word_count
BidAskSpread,JFE,Amihud and Mendelson,1986,mispricing,Bid-ask spread,55,41,1.33333333333333,0.750000000000002,"there is a clientele effect whereby investors with longer holding periods select assets with higher [bid ask] spreads. The resulting testable hypothesis is that asset returns are an increasing and concave function of the spread. The model also predicts that expected returns net of trading costs increase with the holding period, and consequently higher-spread assets yield higher net returns to their holders. Hence, an investor expecting a long holding period can gain by holding high-spread assets.",0,"","",FALSE,Amihud Mendelsohn,TRUE,5134
BookLeverage,JF,Fama and French,1992,agnostic,Book leverage (annual),18,40,0.463414634146342,2.1578947368421,"Our main result is that two easily measured variables, size and book-to-market equity, seem to describe the cross-section of average stock returns.
Prescriptions for using this evidence depend on (a) whether it will persist, and (b) whether it results from rational or irrational asset-pricing.",0,"","",FALSE,Fama French,TRUE,6617
BrandInvest,RED,"Belo, Lin and Vitorino",2014,risk,Brand capital investment,25,104,0.247619047619048,4.03846153846153,"Through its effect on cash flows, the brand capital stock is likely to affect the risk properties of
the firm, and hence its cost of capital and market value.",0,"","",TRUE,Belo Lin Vitorino,TRUE,8087
CF,JF,"Lakonishok, Shleifer, Vishny",1994,mispricing,Cash flow to market,58,65,0.893939393939394,1.11864406779661,This article provides evidence that value strategies yield higher returns because these strategies exploit the suboptimal behavior of the typical investor and not because these strategies are fundamentally riskier.,0,"","",FALSE,Lakonishok Shleifer Vishny,TRUE,8103
CPVolSpread,MS,Bali and Hovakimian,2009,risk,Call minus Put Vol,61,76,0.805194805194805,1.24193548387097,we find evidence that the realized-implied volatility spread is a proxy for volatility risk that has a significantly negative premium in the cross sectional pricing of individual stocks.,,"","",TRUE,"",TRUE,6636
Cash,JFE,Palazzo,2012,risk,Cash to assets,12,84,0.152941176470588,6.53846153846155,"Given that a larger increase in riskiness also causes a larger increase in cash holdings, a stronger marginal effect of expected equity returns should be observed",0,"","",TRUE,Palazzo,TRUE,8139
CashProd,WP,Chandrashekar and Rao,2009,agnostic,Cash Productivity,71,42,1.67441860465116,0.597222222222223,"The literature continues to debate whether the return premia associated with size, book-to-market and momentum are driven by risk or by mispricing. In either case, this paper aims to test for an effect over and above these known determinants.",0,"","Published as Rao, Tang, and Chandrashekar 2013 Journal of Investing.",TRUE,Chandrashekar Rao,TRUE,5794
ChAssetTurnover,AR,Soliman,2008,mispricing,Change in Asset Turnover,36,13,2.64285714285714,0.378378378378379,"In the spirit of Abarbanell and Bernard
(1992), it points to the possibility that investors may be misled partially because analysts
do not impound the differential time-series properties of these two components.",0,"","",TRUE,Soliman,TRUE,7994
ChEQ,JFR,Lockwood and Prombutr,2010,risk,Growth in book equity,15,36,0.432432432432432,2.3125,Additional tests indicate that the sustainable growth effect is attributable to risk and not to mispricing,0,"","",TRUE,Lockwood Prombutr,TRUE,3986
ChForecastAccrual,RAS,Barth and Hutton,2004,mispricing,Change in Forecast and Accrual,53,5,9,0.111111111111111,"Our findings indicate that although forecast revisions reflect information about accrual and earnings persistence beyond that reflected in the level of current year accruals, investors do not fully incorporate this information into their valuation assessments.",0,"","",TRUE,Barth Hutton,TRUE,7443
ChInv,RAS,Thomas and Zhang,2002,mispricing,Inventory Growth,90,2,30.3333333333333,0.032967032967033,"We speculate that demand shifts explain our results, and examine the feasibility of alternative reasons for the stock marketâ€™s apparent inability to recognize the impending profitability reversals",0,"","",FALSE,Thomas Zhang,TRUE,6118
ChInvIA,AR,Abarbanell and Bushee,1998,mispricing,Change in capital inv (ind adj),160,11,13.4166666666667,0.0745341614906831,These results suggest that unaccounted for risk is not a complete explanation for the success of the strategy.,0,"","",FALSE,Abarbanell Bushee,TRUE,6477
ChNAnalyst,ROF,Scherbina,2008,mispricing,Decline in Analyst Coverage,150,18,7.94736842105263,0.125827814569536,I present evidence of inefficient information processing in equity markets by documenting that negative information withheld by securities analysts is incorporated in stock prices with a significant delay.,0,"","",TRUE,Scherbina,TRUE,5922
ChNNCOA,AR,Soliman,2008,mispricing,Change in Net Noncurrent Op Assets,36,13,2.64285714285714,0.378378378378379,"In the spirit of Abarbanell and Bernard
(1992), it points to the possibility that investors may be misled partially because analysts
do not impound the differential time-series properties of these two components.",0,"","",TRUE,Soliman,TRUE,7994
ChTax,JAR,Thomas and Zhang,2011,mispricing,Change in Taxes,103,19,5.2,0.192307692307692,We investigate the joint hypothesis that (1) tax expense contains information about core profitability that is incremental to reported earnings and (2) that information is reflected in stock prices with a delay,0,"","",TRUE,Thomas Zhang,TRUE,6909
ChangeInRecommendation,JF,Jegadeesh et al.,2004,mispricing,Change in recommendation,21,3,5.5,0.181818181818182,"In contrast, we find that the quarterly change in consensus recommendations is a robust return predictor that appears to contain information orthogonal to a large range of other predictive variables

Naive adherence to these recommendations can be costly, because the level of the consensus recommendation adds value only among stocks with favorable quantitative characteristics",0,"","",TRUE,Jegadeesh,TRUE,8236
CompEquIss,JF,Daniel and Titman,2006,agnostic,Composite equity issuance,53,31,1.6875,0.592592592592593,Our findingâ€¦ â€¦is potentially consistent with standard risk-based modelsâ€¦ â€¦Behavioral theories may offer another avenue for explaining these results.,0,"","",TRUE,Daniel Titman,TRUE,8204
CompositeDebtIssuance,RFS,"Lyandres, Sun and Zhang",2008,risk,Composite debt issuance,117,56,2.07017543859649,0.483050847457627,"Our evidence lends support to the investment-based explanation of the new
issues puzzle(e.g.,Zhang,2005a;and Carlson,Fisher,and Giammarino,2006).",0,"","",TRUE,Lyandres Sun Zhang,TRUE,7538
ConsRecomm,JF,Barber et al.,2001,mispricing,Consensus Recommendation,138,14,9.26666666666667,0.107913669064748,"We believe it is most likely that our results are evidence of a market that
is semistrong inefficient (before transactions costs).",0,"","",FALSE,Barber,TRUE,6631
ConvDebt,JFQA,Valta,2016,risk,Convertible debt indicator,46,44,1.04444444444444,0.957446808510642,"This paper analyzes whether renegotiation frictions and the firmâ€™s debt structure affect expected stock returns. In the model, shareholders can act strategically
to induce default and recover a substantial fraction of firm value in renegotiation.",0,"","",TRUE,Valta,TRUE,7702
CoskewACX,RFS,"Ang, Chen and Xing",2006,risk,Coskewness using daily returns,42,344,0.12463768115942,8.02325581395351,"Agents who are averse to downside losses demand greater compensation, in the form of higher expected returns, for holding stocks with high downside risk.",0,"","",TRUE,Ang Chen Xing,TRUE,11406
Coskewness,JF,Harvey and Siddique,2000,risk,Coskewness,14,103,0.144230769230769,6.93333333333334,Our results show that conditional skewness helps explain the cross-sectional variation of expected returns across assets and is significant even when factors based on size and book-to-market are included,0,"","",FALSE,Harvey Siddique,TRUE,6425
CredRatDG,JF,Dichev and Piotroski,2001,mispricing,Credit Rating Downgrade,161,22,7.04347826086957,0.141975308641975,"More importantly, we find some evidence of significant differences in returns at subsequent earnings announcements of stocks with upgrades and downgrades, which suggests that the market does not fully anticipate the predictable future changes in earnings",0,"","",FALSE,Dichev Piotroski,TRUE,7638
CustomerMomentum,JF,Cohen and Frazzini,2008,mispricing,Customer momentum,120,7,15.125,0.0661157024793388,"We test the hypothesis that in the presence of investors subject to attention constraints, stock prices do not promptly incorporate news about economically related firms, generating return predictability across assets.",0,"","",TRUE,Cohen Frazzini,TRUE,7739
DebtIssuance,JFE,Spiess and Affleck-Graves,1999,mispricing,Debt Issuance,206,6,29.5714285714286,0.0338164251207729,"the market appears to underreact at the time of the debt
offering announcement",0,"","",FALSE,Spiess Affleck-Graves,TRUE,5991
DelBreadth,JFE,"Chen, Hong and Stein",2002,mispricing,Breadth of ownership,34,34,1,1,"the evidence is
broadly consistent with the idea that short-sales constraints matter for equilibrium
stock prices and expected returns",0,"",model with differences of opinion and short-sales constraints,FALSE,Chen Hong Stein,TRUE,6775
DelCOA,JAE,Richardson et al.,2005,mispricing,Change in current operating assets,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing",0,"","",TRUE,Richardson,TRUE,10505
DelCOL,JAE,Richardson et al.,2005,mispricing,Change in current operating liabilities,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing.",0,"","",TRUE,Richardson,TRUE,10505
DelDRC,CAR,Prakash and Sinha,2013,mispricing,Deferred Revenue,56,8,6.33333333333333,0.157894736842105,"The analysis shows that such changes are associated with mis-priced securities and
significant errors in analyst forecasts.",0,"","",TRUE,Prakash Sinha,TRUE,10043
DelEqu,JAE,Richardson et al.,2005,mispricing,Change in equity to assets,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing.",0,"","",TRUE,Richardson,TRUE,10505
DelFINL,JAE,Richardson et al.,2005,mispricing,Change in financial liabilities,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing.",0,"","",TRUE,Richardson,TRUE,10505
DelLTI,JAE,Richardson et al.,2005,mispricing,Change in long-term investment,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings
persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing",0,"","",TRUE,Richardson,TRUE,10505
DelNetFin,JAE,Richardson et al.,2005,mispricing,Change in net financial assets,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing.",0,"","",TRUE,Richardson,TRUE,10505
DivInit,JF,"Michaely, Thaler and Womack",1995,mispricing,Dividend Initiation,52,12,4.07692307692308,0.245283018867924,"We hope future research will
help us understand why the market appears to overreact in some circumstances and to underreact in others.",0,"","",FALSE,Michaely Thaler Womack,TRUE,6672
DivOmit,JF,"Michaely, Thaler and Womack",1995,mispricing,Dividend Omission,52,12,4.07692307692308,0.245283018867924,"We hope future research will
help us understand why the market appears to overreact in some circumstances and to underreact in others.",0,"","",FALSE,Michaely Thaler Womack,TRUE,6672
DivSeason,JFE,Hartzmark and Salomon,2013,mispricing,Dividend seasonality,170,75,2.25,0.444444444444444,"Consistent with the above intuition, we find evidence of mispricing of stocks whereby companies have significantly higher returns in months when they are expected to issue a dividend",0,"","",TRUE,Hartzmark Salomon,TRUE,9111
DivYieldST,JF,Litzenberger and Ramaswamy,1979,risk,Predicted div yield next month,18,63,0.296875,3.36842105263158,The equilibrium relationship indicates that before-tax expected rates of return are linearly related to systematic risk and to dividend yield.,0,"","",FALSE,Litzenberger Ramaswamy,TRUE,5247
DolVol,JFE,"Brennan, Chordia, Subra",1998,mispricing,Past trading volume,43,29,1.46666666666667,0.68181818181818,"â€œRegardless of the method used to risk-adjust returns, we find a strong negative relation between average returns and trading volume, which is consistent with a liquidity premium in asset prices.â€",1,Liquidity should improve over time,consistent with a liquidity premium in asset prices.  But liquidity should improve as time goes on.,FALSE,Brennan Chordia Subra,TRUE,5601
DownRecomm,JF,Barber et al.,2001,mispricing,Down forecast EPS,138,14,9.26666666666667,0.107913669064748,"We believe it is most likely that our results are evidence of a market that
is semistrong inefficient (before transactions costs).",0,"","",FALSE,Barber,TRUE,6631
EBM,JAR,"Penman, Richardson and Tuna",2007,agnostic,Enterprise component of BM,26,102,0.262135922330097,3.81481481481482,"This observation accords with the
view that the enterprise book-to-price ratio is a firm characteristic that loads
on a risk factor, but is also consistent with the mispricing of book values.
In the absence of a well-specified asset pricing model, the issue cannot be
sorted out.",0,"","",TRUE,Penman Richardson Tuna,TRUE,8502
EP,JF,Basu,1977,mispricing,Earnings-to-Price Ratio,17,34,0.514285714285714,1.94444444444445,"Contrary to the growing belief that publicly available information is instantaneously impounded in security prices, there seem to be lags and frictions in the adjustment process",0,"","",FALSE,Basu,TRUE,3987
EarnSupBig,RFS,Hou,2007,mispricing,Earnings surprise of big firms,60,4,12.2,0.0819672131147541,"I primarily focus on a third group of explanations,
which argues that the lead-lag effect arises because certain firms react
more sluggishly to common information than do others",0,"","",TRUE,Hou,TRUE,5842
EarningsConsistency,BAR,Alwathainani,2009,mispricing,Earnings consistency,15,1,8,0.125,"Firms consistently ranking in the top 30 percent of growth rates earn slightly lower returns than inconsistent high-growth firms. These findings indicate that investors overreact to consistency in financial metrics, but this overreaction is more pronounced and persistent for consistent low-growth firms than that for consistent high-performing firms.",0,"","",TRUE,Alwathainani,TRUE,857
EarningsForecastDisparity,JFE,Da and Warachka,2011,mispricing,Long-vs-short EPS forecasts,70,16,4.17647058823529,0.23943661971831,"We provide direct evidence that investor inattention is
responsible for the return predictability associated with
the disparity between LTG and ISTG.",0,"","",TRUE,Da Warachka,TRUE,7783
EarningsStreak,MS,Loh and Warachka,2012,mispricing,Earnings surprise streak,83,9,8.4,0.119047619047619,"Overall,
post-earnings-announcement drift has a significant time-series component that is consistent with the gamblerâ€™s
fallacy.",0,"","",TRUE,Loh Warachka,TRUE,6325
EarningsSurprise,AR,"Foster, Olsen and Shevlin",1984,agnostic,Earnings Surprise,73,8,8.22222222222222,0.121621621621622,"The set of explanations â€¦ â€¦can be classified into (a) capital market inefficiency explanations, and (b) noncapital market inefficiency explanations",0,"","",FALSE,Foster Olsen Shevlin,TRUE,4914
EntMult,JFQA,Loughran and Wellman,2011,mispricing,Enterprise Multiple,16,22,0.739130434782609,1.35294117647059,"We interpret EM as a proxy for
the unlevered investment return (i.e., the WACC), which is in turn positively re-
lated to the firmâ€™s cost of equity.",0,"","",TRUE,Loughran Wellman,TRUE,5602
EquityDuration,RAS,"Dechow, Sloan and Soliman",2004,risk,Equity Duration,19,30,0.645161290322581,1.55,"Our research shows how structured financial statement analysis can be used to construct superior
measures of equity security risk.",0,"","",TRUE,Dechow Sloan Soliman,TRUE,6977
ExchSwitch,JF,Dharan and Ikenberry,1995,agnostic,Exchange Switch,70,3,17.75,0.0563380281690141,"Researchers continue to examine why it is that excess long-run performance persists over time. While efforts progress along these liens, the evidence here is consistent with the notion that managers time their application for listing on an organized stock exchange.",0,"","",FALSE,Dharan Ikenberry,TRUE,5943
ExclExp,RAS,"Doyle, Lundholm and Soliman",2003,mispricing,Excluded Expenses,0,0,1,1,We also find that investors do not fully appreciate the lower cash flow implications at the time of the earnings announcement,0,"","",FALSE,Doyle Lundholm Soliman,TRUE,260
FEPS,WP,"Cen, Wei, and Zhang",2006,mispricing,Analyst earnings per share,114,37,3.02631578947368,0.330434782608696,"This FEPS effect is the strongest for stocks of small firms, those with low prices, those with little analyst coverage, and those that were past losers

We also find that trading strategies based on FEPS are not fundamentally riskier.",0,"","Published as Cen, Hilary, and Wei 2013 JFQA.  Published version is somewhat different by adjusting for industry medians and the argument is somewhat different, though still behavioral.  Seems like a nice example of data mining and then explanation years later.",TRUE,Cen Wei Zhang,TRUE,7126
FR,JF,Franzoni and Marin,2006,mispricing,Pension Funding Status,54,24,2.2,0.454545454545455,The paper argues that the market significantly overvalues firms with severely underfunded pensions,0,"","",TRUE,Franzoni Marin,TRUE,7948
FirmAgeMom,JF,Zhang,2006,mispricing,Firm Age - Momentum,77,21,3.54545454545455,0.282051282051282,"My main hypothesis is that if investors underreact to public information, they will underreact even more in cases of greater information uncertainty",0,"","",TRUE,Zhang,TRUE,7146
ForecastDispersion,JF,"Diether, Malloy and Scherbina",2002,mispricing,EPS Forecast Dispersion,64,41,1.54761904761905,0.646153846153845,"We provide evidence that stocks with higher dispersion in analysts' earnings forecasts earn lower future returns than otherwise similar stocks. ... Interpreting dispersion in analysts' forecasts as a proxy for differences in opinion about a stock, we show that this evidence is consistent with the hypothesis that prices will reflect the optimistic view whenever investors with the lowest valuations do not trade",0,"","",FALSE,Diether Malloy Scherbina,TRUE,6679
Frontier,JFQA,Nguyen and Swanson,2009,risk,Efficient frontier index,52,26,1.96296296296296,0.509433962264152,"This paper does not address what causes inefficiencies, but instead examines the linkage between the firm efficiency level and subsequent stock performance",0,"",Recategorized Nov 13,TRUE,Nguyen Swanson,TRUE,5341
GP,JFE,Novy-Marx,2013,agnostic,gross profits / total assets,77,27,2.78571428571429,0.358974358974358,"These results are difficult to reconcile with popular explanations of the value premium, as profitable firms are less prone to distress, have longer cash flow durations, and have lower levels of operating leverage.",0,"","",TRUE,Novy-Marx,TRUE,10370
GrAdExp,RFS,Lou,2014,mispricing,Growth in advertising expenses,85,33,2.52941176470588,0.395348837209303,"This paper provides evidence that managers adjust firm advertising, in part, to attract investor
attention and influence short-term stock returns",0,"","",TRUE,Lou,TRUE,8217
GrLTNOA,AR,"Fairfield, Whisenant and Yohn",2003,mispricing,Growth in long term operating assets,41,27,1.5,0.666666666666667,"Thus, the results suggest that the accrual anomaly documented in Sloan (1996) is a subset of a larger anomaly with respect to a general market mispricing of growth in net operating assets",0,"","",FALSE,Fairfield Whisenant Yohn,TRUE,4960
GrSaleToGrInv,AR,Abarbanell and Bushee,1998,mispricing,Sales growth over inventory growth,160,11,13.4166666666667,0.0745341614906831,These results suggest that unaccounted for risk is not a complete explanation for the success of the strategy.,0,"","",FALSE,Abarbanell Bushee,TRUE,6477
Herf,JF,Hou and Robinson,2006,risk,Industry concentration (sales),16,121,0.139344262295082,7.17647058823529,"Our findings are consistent with the view that innovation/distress
risk, which is more pronounced in competitive industries, is a priced source of
risk in the context of the multifactor asset pricing models of Merton (1973) and
Ross (1976).",0,"","",TRUE,Hou Robinson,TRUE,6686
HerfAsset,JF,Hou and Robinson,2006,risk,Industry concentration (assets),16,121,0.139344262295082,7.17647058823529,"Our findings are consistent with the view that innovation/distress
risk, which is more pronounced in competitive industries, is a priced source of
risk in the context of the multifactor asset pricing models of Merton (1973) and
Ross (1976).",0,"","",TRUE,Hou Robinson,TRUE,6686
HerfBE,JF,Hou and Robinson,2006,risk,Industry concentration (equity),16,121,0.139344262295082,7.17647058823529,"Our findings are consistent with the view that innovation/distress
risk, which is more pronounced in competitive industries, is a priced source of
risk in the context of the multifactor asset pricing models of Merton (1973) and
Ross (1976).",0,"","",TRUE,Hou Robinson,TRUE,6686
High52,JF,George and Hwang,2004,mispricing,52 week high,32,8,3.66666666666667,0.272727272727273,these findings present a serious challenge to the view that markets are semi strong-form efficient,0,"","",TRUE,George Hwang,TRUE,5608
IO_ShortInterest,JFE,Asquith Pathak and Ritter,2005,mispricing,Inst own among high short interest,145,14,9.73333333333333,0.102739726027397,"We also find that the underperformance of high short interest stocks is fairly brief. Thus, to realize the negative abnormal returns on these stocks, frequent portfolio rebalancing is required.",0,"","",TRUE,Asquith Pathak Ritter,TRUE,7781
IdioVol3F,JF,Ang et al.,2006,agnostic,Idiosyncratic risk (3 factor),72,199,0.365,2.73972602739726,"Hence, our results on idiosyncratic volatility represent a substantive puzzle",0,"","",TRUE,Ang,TRUE,10590
IdioVolAHT,JFE,"Ali, Hwang, and Trombley",2003,mispricing,Idiosyncratic risk (AHT),108,47,2.27083333333333,0.440366972477065,These findings are consistent with the Shleifer and Vishny (1997) thesis that risk associated with the volatility of arbitrage returns deters arbitrage activity,0,"","",FALSE,Ali Hwang Trombley,TRUE,4355
Illiquidity,JFM,Amihud,2002,mispricing,Amihud's illiquidity,230,55,4.125,0.242424242424242,"If investors anticipate higher market illiquidity, they will price stocks so that they generate higher expected return. This suggests that stock excess return, traditionally interpreted as ‘‘risk premium,’’ includes a premium for illiquidity. [This illiquidity should decrease over time and can be thought of as mispricing.]",1,Liquidity should increase over time,"",FALSE,Amihud,TRUE,5162
IndIPO,JF,Ritter,1991,mispricing,Initial Public Offerings,50,8,5.66666666666667,0.176470588235294,"The patterns are consistent with an
IPO market in which (1) investors are periodically overoptimistic about the earnings potential of young growth companies, and (2) firms take advantage of these
""""""""""""""""""""""""""""""""windows of opportunity.""""""""""""""""""""""""""""""""",0,"","",FALSE,Ritter,TRUE,5623
IndMom,JF,Grinblatt and Moskowitz,1999,agnostic,Industry Momentum,68,33,2.02941176470588,0.492753623188406,* conclusion offers multiple explanations for excess returns in  intermediate time horizon industry momentum trading relating to behavioral and risk characteristics,0,"","",FALSE,Grinblatt Moskowitz,TRUE,8714
IndRetBig,RFS,Hou,2007,mispricing,Industry return of big firms,60,4,12.2,0.0819672131147541,"I primarily focus on a third group of explanations,
which argues that the lead-lag effect arises because certain firms react
more sluggishly to common information than do others",0,"","",TRUE,Hou,TRUE,5842
IntMom,JFE,Novy-Marx,2012,agnostic,Intermediate Momentum,32,8,3.66666666666667,0.272727272727273,"None of the popular explanations,
either behavioral (e.g., Barberis, Shleifer and Vishny, 1998;
Hong and Stein, 1999; Hirshleifer and Subrahmanyam,
1999) or rational (e.g., Johnson, 2002; Sagi and Seasholes,
2007), delivers the observed term-structure of momentum
information,",0,"","",TRUE,Novy-Marx,TRUE,9013
IntanBM,JF,Daniel and Titman,2006,agnostic,Intangible return using BM,53,31,1.6875,0.592592592592593,Our findingâ€¦ â€¦is potentially consistent with standard risk-based modelsâ€¦ â€¦Behavioral theories may offer another avenue for explaining these results.,0,"","",TRUE,Daniel Titman,TRUE,8204
IntanCFP,JF,Daniel and Titman,2006,agnostic,Intangible return using CFtoP,53,31,1.6875,0.592592592592593,Our findingâ€¦ â€¦is potentially consistent with standard risk-based modelsâ€¦ â€¦Behavioral theories may offer another avenue for explaining these results.,0,"","",TRUE,Daniel Titman,TRUE,8204
IntanEP,JF,Daniel and Titman,2006,agnostic,Intangible return using EP,53,31,1.6875,0.592592592592593,Our findingâ€¦ â€¦is potentially consistent with standard risk-based modelsâ€¦ â€¦Behavioral theories may offer another avenue for explaining these results.,0,"","",TRUE,Daniel Titman,TRUE,8204
IntanSP,JF,Daniel and Titman,2006,agnostic,Intangible return using Sale2P,53,31,1.6875,0.592592592592593,Our findingâ€¦ â€¦is potentially consistent with standard risk-based modelsâ€¦ â€¦Behavioral theories may offer another avenue for explaining these results.,0,"","",TRUE,Daniel Titman,TRUE,8204
InvGrowth,RFS,Belo and Lin,2012,risk,Inventory Growth,17,105,0.169811320754717,5.88888888888889,Optimal capital and inventory investment determine firmsâ€™ dividends and market value thus establishing an endogenous link between the inventory investment rate and firmsâ€™ risk,0,"","",TRUE,Belo Lin,TRUE,7826
